Date,Site.Name,subm,emerg,float,open,subm.complex,subm.simple,subm.grasslike,emerg.persist,emerg.cattail,emerg.broad,Updates
8/6/2021,BROBRK,10,30,0,60,50,0,50,60,0,40,
8/17/2021,CROOKR,20,5,5,70,5,0,95,0,0,100,
8/17/2021,JORDAN,85,10,5,0,45,5,50,50,0,50,
8/18/2021,JOSIES,80,10,5,5,50,0,50,30,0,70,
8/20/2021,BURNPD-01,40,40,10,10,1,49,50,70,0,30,
8/20/2021,BURNPD-02,30,40,15,15,30,30,40,70,0,30,
8/20/2021,SACOSO,30,0,0,70,0,60,40,0,0,0,
8/24/2021,BEARPD-01,70,10,10,10,10,0,90,0,0,100,
8/24/2021,BEARPD-02,10,20,5,65,0,85,15,0,0,100,
8/24/2021,HIGHLK-02,60,20,20,0,5,5,90,0,0,100,
8/26/2021,OSSIPM,70,20,10,0,5,95,0,20,0,80,
9/18/2021,PRESUM-02,80,10,10,0,70,0,30,0,30,70,
9/20/2021,HIGHLK-03,20,20,5,55,50,0,50,0,70,30,"Reclassified submerged veg to be consistent with other sites. Elodea and this ""moss"" type are complex-leaved and mat-forming"
9/20/2021,HIGHLK-04,70,10,10,10,15,5,80,0,80,20,
9/25/2021,SEBAGO-01,50,10,0,40,10,10,80,40,0,60,
9/25/2021,SEBAGO-03,89,10,1,0,20,0,80,40,0,60,
9/25/2021,SEBAGO-04,15,60,5,20,50,0,50,5,0,95,"Reclassified submerged veg to be consistent with other sites. Elodea is complex-leaved and mat-forming, Potamogeton epihydrus is grass-like and mat-forming"
9/25/2021,SEBAGO-06,10,70,1,19,0,30,70,0,100,0,
10/6/2021,MARBRK,60,20,0,20,0,70,30,5,95,0,
10/9/2021,GWORKB,5,10,5,80,100,0,0,0,0,100,
10/9/2021,GWORKN,19,0,1,80,20,0,80,0,0,0,"Reclassified submerged veg to be consistent with other sites. ""Moss"" species is complex-leaved"
10/9/2021,GWORKS,10,0,0,90,79,1,20,0,0,0,Reclassified submerged veg to be consistent with other sites. Callitriche spp. is complex leaf
10/11/2021,KIMBAL,70,20,5,5,5,5,90,20,0,80,
10/11/2021,PROCPD-01,75,10,10,5,40,0,60,0,0,100,
10/11/2021,PROCPD-02,45,30,15,10,20,0,80,0,0,100,
10/12/2021,LITTLR,10,1,1,88,30,10,60,0,0,100,"Reclassified submerged veg to be consistent with other sites. Aquatic moss is complex leaf, Callitriche is complex leaf, Najas is grass-like, and Potamogeton epihydrus is grass-like"
10/12/2021,SFALLS,20,10,1,69,90,10,0,0,0,100,
10/17/2021,SACONO-01,10,0,0,90,0,1,99,0,0,0,
10/17/2021,SACONO-02,60,30,10,0,5,5,90,0,0,100,I think the submerged subcategories were swapped with SACONO-03. 90% mat-forming/grass-like makes more sense for SACONO-02 since it was dominated by Schoenoplectus
10/17/2021,SPECPD,60,15,20,5,45,10,45,5,0,95,"Added 10% to simple leaf subcategory for ""quillwort"" which is most likely Eriocaulon"
10/18/2021,STANPD-01,1,0,1,98,0,0,100,0,0,0,
10/18/2021,STANPD-02,30,30,30,10,0,0,100,90,0,10,Removed simple leaf subcategory because P. natans is floating
10/18/2021,STANPD-03,90,0,10,0,10,20,70,0,0,0,
10/18/2021,TRAFPD-01,15,5,5,75,5,80,15,0,0,100,"Added 5% to complex leaf subcategory for aquatic ""moss"""
10/18/2021,TRAFPD-02,60,20,20,0,10,0,90,30,0,70,
10/24/2021,BOOMBR,1,0,0,99,0,50,50,0,0,0,
10/24/2021,PISCAT,5,0,0,95,60,0,40,0,0,0,"Reclassified submerged veg to be consistent with other sites. Callitriche spp. should be under complex leaf, not grass-like"
10/25/2021,OCSACO,40,35,25,0,45,10,45,0,0,100,
7/9/2022,MARRPD-01,60,20,20,0,0,1,99,0,10,90,
7/9/2022,MARRPD-02,5,45,0,50,0,10,90,0,50,50,
7/15/2022,COLCPD-01,60,15,15,10,15,5,80,0,10,90,
7/15/2022,COLCPD-02,85,10,5,0,50,0,50,80,0,20,
7/15/2022,GRTBRK,10,30,10,50,0,100,0,80,10,10,
7/15/2022,INGALS-01,90,0,10,0,80,1,19,0,0,0,Reclassified submerged veg to be consistent with other sites. Eriocaulon should be under simple leaf
7/15/2022,INGALS-02,80,10,10,0,80,1,19,100,0,0,Reclassified submerged veg to be consistent with other sites. Eriocaulon should be under simple leaf
7/20/2022,ANDROS,0,40,0,60,0,0,0,0,0,100,
7/20/2022,MEADBR,40,5,5,50,95,0,5,5,0,95,
7/20/2022,ROYAL,10,5,0,85,0,0,100,100,0,0,
7/20/2022,SOPER,35,5,20,40,100,0,0,50,0,50,
7/25/2022,CROOKS,75,10,5,10,90,0,10,10,0,90,
7/25/2022,DINGLY,70,10,20,0,10,0,90,0,5,95,
7/25/2022,HEATH-01,80,5,10,5,10,0,90,0,0,100,
7/27/2022,OSSIPE,19,20,1,60,0,0,100,0,0,100,
