Site,catchment
ANDROS,3b
BARKER,1a
BEARPD-01,1b
BEARPD-02,1b
BOOMBR,1a
BRADPD-01,1a
BRADPD-02,1a
BROBRK,1a
BUCKBR,1a
BUFFBR,1a
BURNPD-01,1b
BURNPD-02,1b
CARBRK,1b
CHANBR,1b
COLCPD-01,1b
COLCPD-02,1b
CRESLK-01,1b
CRESLK-02,1b
CRESLK-03,1a
CROOKN,1b
CROOKR,2
CROOKS,2
DINGLY,1b
DUCKIN,1b
DUCKNO,1a
EDDYBR,1a
GRTBRK,1a
GWORKB,1b
GWORKN,1b
GWORKS,1b
HEATH-01,1b
HEATH-02,1b
HIGHLK-02,1b
HIGHLK-03,1b
HIGHLK-04,1b
INGALS-01,1a
INGALS-02,1a
JORDAN,1b
JOSIES,1b
KIMBAL,1b
LITTLR,2
MARBRK,1b
MARRPD-01,1a
MARRPD-02,1a
MEADBR,1a
MERRIL,1a
MOSQPD,1a
MUDNO,1b
MUDSO,1a
OCSACO,2
OSSIPE,3a
OSSIPM,3a
OSSIPR,3a
OTTER-01,1a
OTTER-02,1a
PANTHR-01,1b
PANTHR-02,1b
PANTHR-03,1b
PISCAT,1b
PISCDN,1b
PISCUP,1b
PRESBG,3a
PRESUM-01,3a
PRESUM-02,3a
PROCPD-01,1b
PROCPD-02,1b
RACHEL,1a
RANGE-01,1a
RANGE-02,1a
REDBRK,1a
RIDGEB,1a
ROYAL,1b
SACONO-01,3a
SACONO-02,3a
SACONO-03,3a
SACOSO,3b
SEBAGO-01,3a
SEBAGO-03,1b
SEBAGO-04,1b
SEBAGO-06,3a
SFALLS,2
SHEPR,1b
SOKOLK-01,1b
SOKOLK-02,1b
SOKOLK-03,1b
SOPER,1b
SPECPD,1b
STANPD-01,1b
STANPD-02,1b
STANPD-03,1b
SYMMES-01,1a
SYMMES-02,1a
TRAFPD-01,1a
TRAFPD-02,1a
WATBRK,1b
