Date,SiteName,WaterBody,County,Town,SamplingNotes,Subsite,Sample,Datum,Easting,Northing,BDS_PA,SurveyMethod,PointGroup
9/27/2021,BARKER,Barker Pond,Oxford,Hiram,"Started on east side of culvert, took last sample on west side of culvert. Stopped after 3 seine hauls.",A,1,NAD-83,359057,4860985,0,Seine,
9/27/2021,BARKER,Barker Pond,Oxford,Hiram,"Started on east side of culvert, took last sample on west side of culvert. Stopped after 3 seine hauls.",A,2,WGS-84,359061,4860981,1,Seine,
9/27/2021,BARKER,Barker Pond,Oxford,Hiram,"Started on east side of culvert, took last sample on west side of culvert. Stopped after 3 seine hauls.",B,3,NAD-83,358996,4860972,0,Seine,
8/24/2021,BEARPD-01,Bear Pond,Oxford,Waterford,,A,1,NAD-83,362591,4890884,0,Seine,
8/24/2021,BEARPD-01,Bear Pond,Oxford,Waterford,,A,2,NAD-83,362608,4890816,0,Seine,
8/24/2021,BEARPD-01,Bear Pond,Oxford,Waterford,,A,3,NAD-83,362596,4890823,0,Seine,
8/24/2021,BEARPD-01,Bear Pond,Oxford,Waterford,,A,4,NAD-83,362590,4890858,0,Seine,
8/24/2021,BEARPD-02,Bear Pond,Oxford,Waterford,,B,5,NAD-83,363317,4889425,0,Seine,
8/24/2021,BEARPD-02,Bear Pond,Oxford,Waterford,,B,6,NAD-83,363298,4889382,0,Seine,
8/24/2021,BEARPD-02,Bear Pond,Oxford,Waterford,,B,7,NAD-83,363320,4889357,0,Seine,
8/24/2021,BEARPD-02,Bear Pond,Oxford,Waterford,,B,8,NAD-83,363308,4889351,0,Seine,
10/24/2021,BOOMBR,Boom Rd brook,York,Saco,A: above culvert; B: below culvert pool; C: downstream of culvert,A,1,WGS-84,377162,4819899,0,Seine,
10/24/2021,BOOMBR,Boom Rd brook,York,Saco,A: above culvert; B: below culvert pool; C: downstream of culvert,B,2,WGS-84,377144,4819870,0,Seine,
10/24/2021,BOOMBR,Boom Rd brook,York,Saco,A: above culvert; B: below culvert pool; C: downstream of culvert,B,3,WGS-84,377144,4819870,0,Seine,
10/24/2021,BOOMBR,Boom Rd brook,York,Saco,A: above culvert; B: below culvert pool; C: downstream of culvert,B,4,WGS-84,377144,4819870,0,Seine,
10/24/2021,BOOMBR,Boom Rd brook,York,Saco,A: above culvert; B: below culvert pool; C: downstream of culvert,C,5,WGS-84,377125,4819870,0,Seine,
10/24/2021,BOOMBR,Boom Rd brook,York,Saco,A: above culvert; B: below culvert pool; C: downstream of culvert,C,6,WGS-84,377127,4819852,0,Seine,
10/24/2021,BOOMBR,Boom Rd brook,York,Saco,A: above culvert; B: below culvert pool; C: downstream of culvert,C,7,WGS-84,377111,4819854,0,Seine,
10/24/2021,BOOMBR,Boom Rd brook,York,Saco,A: above culvert; B: below culvert pool; C: downstream of culvert,C,8,WGS-84,377094,4819858,0,Seine,
8/6/2021,BROBRK,Brown's Brook,Penobscot,Aurora,"30 ft bag seine: 2 hauls in shallow, vegetated shoreline areas and 2 hauls in open water.  Stopped after four seine hauls due to high fish mortality.  Also caught salamanders and copious numbers of dragonfly larvae and backswimmers.",NA,1,NAD-83,554528,4967958,0,Seine,
8/6/2021,BROBRK,Brown's Brook,Penobscot,Aurora,"30 ft bag seine: 2 hauls in shallow, vegetated shoreline areas and 2 hauls in open water.  Stopped after four seine hauls due to high fish mortality.  Also caught salamanders and copious numbers of dragonfly larvae and backswimmers.",NA,2,NAD-83,554516,4967969,0,Seine,
8/6/2021,BROBRK,Brown's Brook,Penobscot,Aurora,"30 ft bag seine: 2 hauls in shallow, vegetated shoreline areas and 2 hauls in open water.  Stopped after four seine hauls due to high fish mortality.  Also caught salamanders and copious numbers of dragonfly larvae and backswimmers.",NA,3,NAD-83,554507,4967968,0,Seine,
8/6/2021,BROBRK,Brown's Brook,Penobscot,Aurora,"30 ft bag seine: 2 hauls in shallow, vegetated shoreline areas and 2 hauls in open water.  Stopped after four seine hauls due to high fish mortality.  Also caught salamanders and copious numbers of dragonfly larvae and backswimmers.",NA,4,NAD-83,554507,4967973,0,Seine,
8/20/2021,BURNPD-01,Burnt Meadow Pond,Oxford,Brownfield,"Subsite A corresponds with eDNA BURNPD-01, Subsite B corresponds with eDNA BURNPD-02.",A,1,NAD-83,348498,4865641,0,Seine,
8/20/2021,BURNPD-01,Burnt Meadow Pond,Oxford,Brownfield,"Subsite A corresponds with eDNA BURNPD-01, Subsite B corresponds with eDNA BURNPD-02.",A,2,NAD-83,348496,4865700,0,Seine,
8/20/2021,BURNPD-01,Burnt Meadow Pond,Oxford,Brownfield,"Subsite A corresponds with eDNA BURNPD-01, Subsite B corresponds with eDNA BURNPD-02.",A,3,NAD-83,348507,4865695,0,Seine,
8/20/2021,BURNPD-01,Burnt Meadow Pond,Oxford,Brownfield,"Subsite A corresponds with eDNA BURNPD-01, Subsite B corresponds with eDNA BURNPD-02.",A,4,NAD-83,348480,4865715,0,Seine,
8/20/2021,BURNPD-02,Burnt Meadow Pond,Oxford,Brownfield,"Subsite A corresponds with eDNA BURNPD-01, Subsite B corresponds with eDNA BURNPD-02.",B,5,NAD-83,348624,4865088,0,Seine,
8/20/2021,BURNPD-02,Burnt Meadow Pond,Oxford,Brownfield,"Subsite A corresponds with eDNA BURNPD-01, Subsite B corresponds with eDNA BURNPD-02.",B,6,NAD-83,348628,4865056,0,Seine,
8/20/2021,BURNPD-02,Burnt Meadow Pond,Oxford,Brownfield,"Subsite A corresponds with eDNA BURNPD-01, Subsite B corresponds with eDNA BURNPD-02.",B,7,NAD-83,348629,4865045,0,Seine,
8/20/2021,BURNPD-02,Burnt Meadow Pond,Oxford,Brownfield,"Subsite A corresponds with eDNA BURNPD-01, Subsite B corresponds with eDNA BURNPD-02.",B,8,NAD-83,348628,4865039,0,Seine,
8/17/2021,CROOKR,Crooked River,Cumberland,Naples,"Scale not working. A: sandy impoundment.  B: weedy, mucky area w/ tadpoles. C: ledge/silty area",A,1,NAD-83,373954,4873047,0,Seine,
8/17/2021,CROOKR,Crooked River,Cumberland,Naples,"Scale not working. A: sandy impoundment.  B: weedy, mucky area w/ tadpoles. C: ledge/silty area",A,2,NAD-83,373954,4873047,0,Seine,
8/17/2021,CROOKR,Crooked River,Cumberland,Naples,"Scale not working. A: sandy impoundment.  B: weedy, mucky area w/ tadpoles. C: ledge/silty area",B,3,NAD-83,373951,4873107,0,Seine,
8/17/2021,CROOKR,Crooked River,Cumberland,Naples,"Scale not working. A: sandy impoundment.  B: weedy, mucky area w/ tadpoles. C: ledge/silty area",B,4,NAD-83,373951,4873105,0,Seine,
8/17/2021,CROOKR,Crooked River,Cumberland,Naples,"Scale not working. A: sandy impoundment.  B: weedy, mucky area w/ tadpoles. C: ledge/silty area",B,5,NAD-83,373962,4873083,0,Seine,
8/17/2021,CROOKR,Crooked River,Cumberland,Naples,"Scale not working. A: sandy impoundment.  B: weedy, mucky area w/ tadpoles. C: ledge/silty area",B,6,NAD-83,373951,4873105,0,Seine,
8/17/2021,CROOKR,Crooked River,Cumberland,Naples,"Scale not working. A: sandy impoundment.  B: weedy, mucky area w/ tadpoles. C: ledge/silty area",B,7,NAD-83,373904,4873116,0,Seine,
8/17/2021,CROOKR,Crooked River,Cumberland,Naples,"Scale not working. A: sandy impoundment.  B: weedy, mucky area w/ tadpoles. C: ledge/silty area",C,8,WGS-84,373915,4873113,0,Seine,
10/9/2021,GWORKB,Great Works River,York,North Berwick,"A: downstream of culvert.  B: upstream of culvert on western shore.  Deep, dark water",A,1,NAD-83,358996,4801908,0,Seine,
10/9/2021,GWORKB,Great Works River,York,North Berwick,"A: downstream of culvert.  B: upstream of culvert on western shore.  Deep, dark water",A,2,WGS-84,359003,4801906,0,Seine,
10/9/2021,GWORKB,Great Works River,York,North Berwick,"A: downstream of culvert.  B: upstream of culvert on western shore.  Deep, dark water",B,3,WGS-84,359005,4801942,0,Seine,
10/9/2021,GWORKB,Great Works River,York,North Berwick,"A: downstream of culvert.  B: upstream of culvert on western shore.  Deep, dark water",B,4,WGS-84,359010,4801931,0,Seine,
10/9/2021,GWORKB,Great Works River,York,North Berwick,"A: downstream of culvert.  B: upstream of culvert on western shore.  Deep, dark water",B,5,WGS-84,359016,4801925,0,Seine,
10/9/2021,GWORKB,Great Works River,York,North Berwick,"A: downstream of culvert.  B: upstream of culvert on western shore.  Deep, dark water",B,6,WGS-84,359007,4801947,0,Seine,
10/9/2021,GWORKB,Great Works River,York,North Berwick,"A: downstream of culvert.  B: upstream of culvert on western shore.  Deep, dark water",B,7,WGS-84,359004,4801951,0,Seine,
10/9/2021,GWORKB,Great Works River,York,North Berwick,"A: downstream of culvert.  B: upstream of culvert on western shore.  Deep, dark water",B,8,WGS-84,359003,4801959,0,Seine,
10/9/2021,GWORKN,Great Works River,York,North Berwick,"Started in pool below culvert, then crossed culvert to sample upstream aquatic plants, then back downstream towards riffle.  No fish: flushed downstream by rains?",A,1,NAD-83,357529,4805665,0,Seine,
10/9/2021,GWORKN,Great Works River,York,North Berwick,"Started in pool below culvert, then crossed culvert to sample upstream aquatic plants, then back downstream towards riffle.  No fish: flushed downstream by rains?",A,2,NAD-83,357521,4805682,0,Seine,
10/9/2021,GWORKN,Great Works River,York,North Berwick,"Started in pool below culvert, then crossed culvert to sample upstream aquatic plants, then back downstream towards riffle.  No fish: flushed downstream by rains?",B,3,WGS-84,357477,4805733,0,Seine,
10/9/2021,GWORKN,Great Works River,York,North Berwick,"Started in pool below culvert, then crossed culvert to sample upstream aquatic plants, then back downstream towards riffle.  No fish: flushed downstream by rains?",B,4,WGS-84,357475,4805734,0,Seine,
10/9/2021,GWORKN,Great Works River,York,North Berwick,"Started in pool below culvert, then crossed culvert to sample upstream aquatic plants, then back downstream towards riffle.  No fish: flushed downstream by rains?",B,5,WGS-84,357493,4805723,0,Seine,
10/9/2021,GWORKN,Great Works River,York,North Berwick,"Started in pool below culvert, then crossed culvert to sample upstream aquatic plants, then back downstream towards riffle.  No fish: flushed downstream by rains?",C,6,WGS-84,357543,4805653,0,Seine,
10/9/2021,GWORKN,Great Works River,York,North Berwick,"Started in pool below culvert, then crossed culvert to sample upstream aquatic plants, then back downstream towards riffle.  No fish: flushed downstream by rains?",C,7,WGS-84,357549,4805653,0,Seine,
10/9/2021,GWORKN,Great Works River,York,North Berwick,"Started in pool below culvert, then crossed culvert to sample upstream aquatic plants, then back downstream towards riffle.  No fish: flushed downstream by rains?",C,8,WGS-84,357581,4805651,0,Seine,
10/9/2021,GWORKS,Great Works River,York,North Berwick,"Started west of culvert in eDNA water collection area, then sampled east of culvert and in culvert (S8). Water level and flow high.",A,1,WGS-84,358922,4797467,0,Seine,
10/9/2021,GWORKS,Great Works River,York,North Berwick,"Started west of culvert in eDNA water collection area, then sampled east of culvert and in culvert (S8). Water level and flow high.",A,2,NAD-83,358916,4797479,0,Seine,
10/9/2021,GWORKS,Great Works River,York,North Berwick,"Started west of culvert in eDNA water collection area, then sampled east of culvert and in culvert (S8). Water level and flow high.",A,3,NAD-83,358927,4797483,0,Seine,
