row,Source,Year,Date,WBType,WaterBody,State,Mean_x,Mean_y,SiteName,SiteCode,SiteHist,BS_Pres,CStatus,cOccu,PointType
122,"M. Carpenter, NHFGD, written communication, 7 February 2023",2009,6/4/2009,LakePond,Lake Winnipesaukee,NH,307997.3692,4844158.204,20090604-1130-BS-Lake Winnipesaukee-Moultonborough-SEINE,20090604-1130-BS-Lake Winnipesaukee-Moultonborough-SEINE,Targeted presence/absense survey for bridle shiners.  Several BS found,Historically present in waterbody,Present,1,GPS survey coordinates
123,"M. Carpenter, NHFGD, written communication, 7 February 2023",2009,6/4/2009,LakePond,Lake Winnipesaukee,NH,308057.3298,4844280.977,20090604-1200-BS-Lake Winnipesaukee-Moultonborough-SEINE,20090604-1200-BS-Lake Winnipesaukee-Moultonborough-SEINE,Targeted presence/absense survey for bridle shiners.  Several BS found,Historically present in waterbody,Present,1,GPS survey coordinates
240,"M. Carpenter, NHFGD, written communication, 7 February 2023",2009,6/4/2009,LakePond,Lake Winnipesaukee,NH,307596.4465,4844580.486,20090604-1300-BS-Lake Winnipesaukee-Moultonborough-SEINE,BS-Lake Winnipesaukee-Bryant Point-MEANCENTER,Targeted presence/absense survey for bridle shiners.  Several BS found,Historically present in waterbody,Present,1,Mean center point of 2+ surveys at this location
241,"M. Carpenter, NHFGD, written communication, 7 February 2023",2009,6/4/2009,LakePond,Lake Winnipesaukee,NH,307531.1302,4843826.487,20090604-1230-BS-Lake Winnipesaukee-Moultonborough-SEINE,BS-Lake Winnipesaukee-Wetland near Whaleback Island-MEANCENTER,Targeted presence/absense survey for bridle shiners.  Several BS found,Historically present in waterbody,Present,1,Mean center point of 2+ surveys at this location
242,"M. Carpenter, NHFGD, written communication, 7 February 2023",2009,6/4/2009,LakePond,Lake Winnipesaukee,NH,307971.5914,4844032.781,20090604-1100-BS-Lake Winnipesaukee-Moultonborough-SEINE,BS-Lake Winnipesaukee-Whaleback Island-MEANCENTER,Targeted presence/absense survey for bridle shiners.  Several BS found,Historically present in waterbody,Present,1,Mean center point of 2+ surveys at this location
124,"M. Carpenter, NHFGD, written communication, 7 February 2023",2009,6/29/2009,StreamRiver,Black Brook,NH,298097.1949,4764886.765,20090629-1200-IMPOUND-Black Brook-Manchester-EFISH,20090629-1200-IMPOUND-Black Brook-Manchester-EFISH,"Post dam removal fish community survey.  Water depth and level from recent rains, made it difficult to survey in some locations.  FF were YOY.",Current,Present,1,GPS survey coordinates
252,"M. Carpenter, NHFGD, written communication, 7 February 2023",2009,9/14/2009,LakePond,Lake Winnipesaukee,NH,307780.1592,4845043.726,20090914-1200-WARMWATER-Lake Winnipesaukee-Moultonborough-EBOAT,BS-Winnipesaukee Lake-Lees Mills-MEANCENTER,"YOY bass survey index site, dark water, lots of weeds",Historically present in waterbody,Present,1,Mean center point of 2+ surveys at this location
125,"M. Carpenter, NHFGD, written communication, 7 February 2023",2010,6/10/2010,LakePond,Lake Winnipesaukee,NH,305611.0504,4843959.399,20100610-1100-BS-Winnipesaukee Lake-Moultonborough-DIPNET,20100610-1100-BS-Winnipesaukee Lake-Moultonborough-DIPNET,"Very large school observed in cove.  Plants observed include variable milfoil, pickerel weed, water lily, cattails, chara, and watershield.",Historically present in waterbody,Present,1,GPS survey coordinates
250,"M. Carpenter, NHFGD, written communication, 7 February 2023",2010,6/15/2010,LakePond,Lake Winnipesaukee,NH,306115.6027,4844122.021,20100615-1100-BS-Winnipesaukee Lake-Moultonborough-DIPNET,BS-Winnipesaukee Lake-Goodwin Island-MEANCENTER,Presence/Absence survey targetting bridle shiners. BS observed spawning over milfoil at site.  BS captured and observed in all vegetated coves of Lake Winnipesauke in the town of Moultonborough.  All coves treated for milfoil with herbicide in the fall o,Historically present in waterbody,Present,1,Mean center point of 2+ surveys at this location
251,"M. Carpenter, NHFGD, written communication, 7 February 2023",2010,6/15/2010,LakePond,Lake Winnipesaukee,NH,305745.86,4843979.372,20100615-1000-BS-Winnipesaukee Lake-Moultonborough-DIPNET,BS-Winnipesaukee Lake-Greens Basin-MEANCENTER,Presence/Absence survey targetting bridle shiners.  BS captured and observed in all vegetated coves of Lake Winnipesauke in the town of Moultonborough.  All coves treated for milfoil with herbicide in the fall of 2010.  BS targetted with DIPNETs.  Other,Historically present in waterbody,Present,1,Mean center point of 2+ surveys at this location
126,"M. Carpenter, NHFGD, written communication, 7 February 2023",2010,6/18/2010,LakePond,Lees Pond,NH,306392.3768,4845825.302,20100618-1030-BS-Lees Pond-Moultonborough-DIPNET,20100618-1030-BS-Lees Pond-Moultonborough-DIPNET,"Presence/Absence survey targetting bridle shiners. No other bridle shiners found in pond, though habitat looks suitable.  Captured BS among milfoil and green algae near inlet of small stream.  Pond treated for milfoil with herbicide + DASH in 2010.  Othe",Current,Present,1,GPS survey coordinates
127,"M. Carpenter, NHFGD, written communication, 7 February 2023",2010,7/28/2010,LakePond,Lake Winnipesaukee,NH,307117.5502,4844509.277,20100728-1100-BS-Winnipesaukee Lake-Moultonborough-DIPNET,20100728-1100-BS-Winnipesaukee Lake-Moultonborough-DIPNET,Presence/Absence survey targetting bridle shiners.  BS captured and observed in all vegetated coves of Lake Winnipesauke in the town of Moultonborough.  All coves treated for milfoil with herbicide in the fall of 2010.,Historically present in waterbody,Present,1,GPS survey coordinates
128,"M. Carpenter, NHFGD, written communication, 7 February 2023",2010,7/28/2010,LakePond,Lake Winnipesaukee,NH,307865.8407,4844685.549,20100728-1230-BS-Winnipesaukee Lake-Moultonborough-DIPNET,20100728-1230-BS-Winnipesaukee Lake-Moultonborough-DIPNET,Presence/Absence survey targetting bridle shiners.  BS captured and observed in all vegetated coves of Lake Winnipesauke in the town of Moultonborough.  All coves treated for milfoil with herbicide in the fall of 2010.,Historically present in waterbody,Present,1,GPS survey coordinates
247,"M. Carpenter, NHFGD, written communication, 7 February 2023",2010,7/28/2010,LakePond,Lake Winnipesaukee,NH,306622.5566,4844465.802,20100728-1015-BS-Winnipesaukee Lake-Moultonborough-DIPNET,BS-Winnipesaukee Lake-Fox Hollow East-MEANCENTER,Presence/Absence survey targetting bridle shiners.  BS captured and observed in all vegetated coves of Lake Winnipesauke in the town of Moultonborough.  All coves treated for milfoil with herbicide in the fall of 2010.,Historically present in waterbody,Present,1,Mean center point of 2+ surveys at this location
248,"M. Carpenter, NHFGD, written communication, 7 February 2023",2010,7/28/2010,LakePond,Lake Winnipesaukee,NH,306569.2564,4844281.709,20100728-945-BS-Winnipesaukee Lake-Moultonborough-DIPNET,BS-Winnipesaukee Lake-Fox Hollow Point-MEANCENTER,Presence/Absence survey targetting bridle shiners.  BS captured and observed in all vegetated coves of Lake Winnipesauke in the town of Moultonborough.  All coves treated for milfoil with herbicide in the fall of 2010.,Historically present in waterbody,Present,1,Mean center point of 2+ surveys at this location
249,"M. Carpenter, NHFGD, written communication, 7 February 2023",2010,7/28/2010,LakePond,Lake Winnipesaukee,NH,306331.1762,4844281.575,20100728-930-BS-Winnipesaukee Lake-Moultonborough-DIPNET,BS-Winnipesaukee Lake-Fox Hollow West-MEANCENTER,Presence/Absence survey targetting bridle shiners.  BS captured and observed in all vegetated coves of Lake Winnipesauke in the town of Moultonborough.  All coves treated for milfoil with herbicide in the fall of 2010.,Historically present in waterbody,Present,1,Mean center point of 2+ surveys at this location
