"model","state","pred_occu","count","area_covered","proportion"
"hS","Maine",0,476,9219.642792501,0.614783127644535
"hS","Maine",1,267,5637.57436345184,0.37592406533479
"cS","Maine",0,582,11259.0362733987,0.750188711300442
"cS","Maine",1,161,3598.18088255385,0.239746512380151
"hL","Maine",0,124,9211.44011350637,0.619775942805583
"hL","Maine",1,71,5651.09241927423,0.380224057137572
"cL","Maine",0,140,10377.9959536266,0.69140690121593
"cL","Maine",1,55,4484.5365794098,0.298770548149588
"hS","New Hampshire",0,732,14280.3555979472,0.627799731473693
"hS","New Hampshire",1,357,7712.84908542762,0.339075911066574
"cS","New Hampshire",0,826,15502.8505671475,0.68927681128656
"cS","New Hampshire",1,263,6490.3541162273,0.288569548547025
"hL","New Hampshire",0,198,13864.1162107744,0.628676792981483
"hL","New Hampshire",1,118,8130.01526107523,0.368660493284902
"cL","New Hampshire",0,211,14645.7177572086,0.665892071071492
"cL","New Hampshire",1,105,7348.41371464099,0.334107928928508
"hS","Total",0,1152,23499.9983921869,0.622627763420956
"hS","Total",1,595,13350.4234488773,0.353716802613094
"cS","Total",0,1341,26761.8868422829,0.713377849054928
"cS","Total",1,406,10088.5349987811,0.268924887096336
"hL","Total",0,308,23075.5563489193,0.625093214804095
"hL","Total",1,171,13781.1076803495,0.373316108752216
"cL","Total",0,335,25023.7137354732,0.676241648772736
"cL","Total",1,144,11832.9502940508,0.319774031196309
