from,to
-9999,-9999
-1111,-1111
11,11
31,31
1840,1921
1842,1922
1844,1844
1850,1850
1851,1926
1852,1927
1854,1930
1856,1954
1862,1934
1863,1863
1866,1938
1920,1920
1921,1921
1922,1922
1923,1923
1924,1924
1925,1925
1926,1926
1927,1927
1928,1928
1929,1929
1930,1930
1931,1931
1932,1932
1933,1933
1934,1934
1935,1935
1936,1936
1937,1937
1938,1938
1939,1939
1940,1940
1941,1941
1942,1942
1943,1920
1944,1921
1945,1945
1946,1924
1947,1925
1948,1926
1949,1927
1950,1928
1951,1929
1952,1930
1953,1953
1954,1954
1956,1933
1957,1934
1958,1935
1959,1936
1960,1937
1961,1938
1962,1940
1963,1941
1964,1942
1978,1920
1979,1922
1980,1980
1981,1945
1982,1924
1983,1925
1984,1926
1985,1927
1986,1928
1987,1929
1988,1930
1989,1989
1990,1953
1991,1932
1992,1934
1993,1935
1994,1936
1995,1937
1996,1938
1997,1939
1998,1940
1999,1942
